seed,env_init,schedule,mechanism,sigma,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_snap_half,misID_snap_post,misID_act,misID_act_post,q_onehot_ok,final_S_A,final_S_B,final_S_C
3,5_2_6,seq_BCA,infer,1.00,filter,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_BCA,infer,1.00,memoryless,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_CAB,hard,,none,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_CAB,infer,0.40,filter,1,S=0,45,0.000000,0.686667,0.573333,0.133333,0.706667,0.333333,1,0,0,0
3,5_2_6,seq_CAB,infer,1.00,filter,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_CAB,infer,1.00,memoryless,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_CBA,hard,,none,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_CBA,infer,0.40,filter,1,S=0,48,0.000000,0.706667,0.693333,0.666667,0.713333,0.666667,1,0,0,0
3,5_2_6,seq_CBA,infer,1.00,filter,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_CBA,infer,1.00,memoryless,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,sync,hard,,none,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,,1,0,0,1
3,5_2_6,sync,infer,0.40,filter,1,no_conv,42,0.000000,0.673333,0.640000,0.333333,0.673333,0.333333,1,1,0,0
3,5_2_6,sync,infer,1.00,filter,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,,1,0,0,1
3,5_2_6,sync,infer,1.00,memoryless,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,,1,0,0,1
3,8_8_8,seq_ABC,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_ABC,infer,0.40,filter,1,S=8,27,0.000000,0.426667,0.360000,0.333333,0.426667,0.333333,1,8,8,8
3,8_8_8,seq_ABC,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_ABC,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_ACB,hard,,none,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_ACB,infer,0.40,filter,1,S=8,13,0.000000,0.186667,0.000000,0.045045,0.186667,0.054054,1,8,8,8
3,8_8_8,seq_ACB,infer,1.00,filter,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_ACB,infer,1.00,memoryless,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_BAC,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_BAC,infer,0.40,filter,1,S=8,48,0.000000,0.393333,0.346667,0.000000,0.386667,0.000000,1,8,8,8
3,8_8_8,seq_BAC,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_BAC,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_BCA,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_BCA,infer,0.40,filter,1,S=8,13,0.000000,0.253333,0.146667,0.171171,0.280000,0.162162,1,8,8,8
3,8_8_8,seq_BCA,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
