seed,env_mode,env_init,mechanism,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,real_var_final,imag_var_final,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
4,isolated,8_8_8,off,0.000000,4.666667,5.102222,0.000000,4.000000,3.848889,0.000000,5.891869,5.732247,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
4,isolated,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,2.074074,2.088889,0.666667,3.933126,3.952842,4.666667,1.555556,8,8,6,3,8,8,7,8,5,1,S=8
4,isolated,8_8_8,soft,0.000000,0.000000,0.000000,0.000000,2.444444,2.085926,0.000000,4.426029,3.947436,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
4,isolated,8_8_8,delayed,0.222222,0.000000,0.000000,0.074074,2.444444,2.444444,0.666667,4.426029,4.426029,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
4,isolated,8_8_8,noisy,0.000000,0.000000,0.008889,0.000000,2.518519,2.711111,0.000000,3.887301,4.676205,5.555556,2.000000,8,8,5,3,8,8,8,8,5,1,S=8
5,shared,5_2_6,off,0.000000,0.222222,0.320000,0.000000,0.074074,0.299259,0.000000,0.666667,1.456039,0.000000,0.000000,8,5,8,8,5,8,8,6,8,0,no_conv
5,shared,5_2_6,hard,0.666667,0.000000,0.000000,0.222222,0.370370,0.136296,1.333333,1.490712,0.807360,0.888889,0.222222,7,0,7,5,0,8,5,0,8,1,S=0
5,shared,5_2_6,soft,0.000000,0.000000,0.000000,0.000000,0.370370,0.115556,0.000000,1.745356,0.714594,0.888889,0.222222,8,0,7,6,0,8,6,0,7,1,S=0
5,shared,5_2_6,delayed,0.666667,0.000000,0.000000,0.222222,0.296296,0.139259,1.333333,1.333333,0.830106,0.888889,0.000000,8,0,8,6,0,8,6,0,8,1,S=0
5,shared,5_2_6,noisy,0.666667,0.222222,0.071111,0.222222,0.222222,0.207407,1.333333,1.382088,1.218723,0.222222,0.222222,7,0,7,7,1,8,8,0,7,0,no_conv
